department,code,title,credits,prereqs,restrictions,type
CIVE,281,Analytical Mechanics,3,"['MATH 262', 'MATH 263']",,
COMP,202,Foundations of Programming,3,,,
ECSE,200,Electric Circuits 1,3,"[' PHYS 142', ' MATH 263']",,
MATH,262,Intermediate Calculus,3,"['P - MATH 133 or equiv.', 'P - MATH 141']",,
MATH,263,ODEs for Engineers,3,['C - MATH 262'],,
ECSE,205,Probability & Statistics for Eng.,3,,,
ECSE,206,Intro. to Signals & Networks,3,['P - ECSE 200'],,
ECSE,210,Electric Circuits 2,3,['P - ECSE 200'],,
ECSE,211,Design Principles and Methods,3,"['P - ECSE 200', 'P - COMP 202 or ECSE 202']",,
ECSE,251,Electric and Magnetic Fields,3,"['P - MATH 262', 'P - ECSE 200']",,
FACC,100,Intro. to Engineering Profession,1,,,
ECSE,250,Fundamentals of Software Development,3,['P - COMP 202 or equiv'],,
ECSE,222,Digital Logic,3,['P - COMP 202 or ECSE 202'],,
ECSE,362,Fundamentals of Power Eng.,4,"['P - ECSE 210', 'P - ECSE 251', 'C - CIVE 281']",,
MIME,262,Properties of Materials in EE,3,,,
COMP,206,Introduction to Software Systems,3,"['P - COMP 202 or ECSE 202', 'P - COMP 250 or ECSE 250']",,
ECSE,307,Linear Systems & Control,4,"['P - ECSE 206', 'P - ECSE 210']",,
ECSE,324,Computer Organization,4,"['P - ECSE 200', 'P - ECSE 222', 'P - COMP 206']",,
ECSE,331,Electronics,4,['P - ECSE 310'],,
HSS,1,Humanities & Social Sciences #1,3,,,
FACC,250,Resp. of the Prof. Engineeer,0,['P - FACC 100 or BREE 205'] ,,
ECSE,308,Intro. Comm. Sys. & Networks,4,"['P - ECSE 205', 'P - ECSE 206']",,
CCOM,206,Communication in Engineering,3,,,
ECSE,354,Electromagnetic Wave Propagation,4,['P - ECSE 251'],,
FACC,300,Engineering Economy,3,,,
ECSE,458N1,Capstone Design Project,3,"['P - ECSE 211', 'ECSE 324', 'CCOM 206', 'ECSE 331']",,
TC,1,Technical Complementary 1,4,,,
TC,2,Technical Complementary 2,3,,,
ECSE,343,Numerical Methods in Engineering,3,"['P - ECSE 205', 'P - COMP 250 or ECSE 250', 'P - MATH 263']",,
Impact,X,Impact of Technology on Society,3,,,
ECSE,458N2,Capstone Design Project,3,['P - ECSE 458 N1'],,
TC,3,Technical Complementary 3,3,,,
TC,4,Technical Complementary 4,3,,,
TC,5,Technical Complementary 5,3,,,
Elective,X,Elective Course,3,,,
FACC,400,Engineering Professional Practice,1,"['P - FACC 100', 'P - FACC 250', 'P - 60 program credits']",,
